policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,workload,contact_model,task_count,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
QoS-Multihop-projected,233.33782772026373,14981.414949676564,260,57.62082672952525,7128992.0,2682200.0,62.376167626503154,0.0140707677437603,62.82609933013621,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0190561542135233,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,1.0
DelayCost-adapted,225.2144989065576,14981.414949676564,260,57.62082672952525,7128992.0,2714680.0,61.920563243723656,0.0140707677437603,67.15528144832533,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0163307685467701,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9651864042231304
Heuristic-TVD,230.75118961971532,14365.959882583837,260,55.25369185609168,7128992.0,2836840.0,60.20699700602834,0.0140707677437603,54.46990843410621,0,0,145,14,101,0,55.76923076923077,5.384615384615385,38.84615384615385,0.0,634.0401174161575,634.0401174161575,0.0,0.0163450009914903,,,,,5,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9889146216632764
Deadline-Energy,201.7077540634025,5557.470949459285,260,21.374888267151096,7060016.0,5532320.0,21.638704501519545,11.167291544016916,55.92699329915716,0,0,58,0,202,0,22.307692307692307,0.0,77.6923076923077,0.0,9442.52905054068,9442.52905054068,0.0,0.0108580754245989,,,,,6,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.8790355533549297
Energy-WSRPT,229.464840207056,14947.680484752593,260,57.49107878750997,7060016.0,2848232.0,59.65686196745163,0.0140707677437603,68.41852283034535,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0146465387213258,,,,,6,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9999999936715744
ActiveInf-inspired,221.336198848434,14981.414949676564,260,57.62082672952525,7060016.0,2770600.0,60.75646287487167,0.0140707677437603,71.644060792624,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0323123084784198,,,,,6,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9645756502303496
LEO-DRL-inspired,221.0354288331404,14981.414949676564,260,57.62082672952525,7060016.0,2779320.0,60.632950406911256,0.0140707677437603,71.644060792624,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0606026929185295,,,,,6,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.963264904701236
Hierarchical-RA-inspired,221.336198848434,14981.414949676564,260,57.62082672952525,7060016.0,2770600.0,60.75646287487167,0.0140707677437603,71.644060792624,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0166888461815408,,,,,6,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9645756502303496
DRL-UA-inspired,223.37768376960256,14969.220205256846,260,57.57392386637249,7060016.0,2688424.0,61.92042624266008,0.0140707677437603,68.41852283034535,0,0,152,12,96,0,58.46153846153846,4.615384615384615,36.92307692307692,0.0,30.779794743149765,30.779794743149765,0.0,0.0685392300231167,,,,,6,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.973472372300742
QoS-Multihop-projected,229.4648416592072,14981.414949676564,260,57.62082672952525,7060016.0,2830304.0,59.9107990690106,0.0140707677437603,68.41852283034535,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0194665381478933,,,,,6,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,1.0
