policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,tasks,windows,requested_windows,wall_s,decisions_per_s
Heuristic-TVD,3120.087847915263,149816.48316757337,706,212.2046503789991,556374855379.8488,35097610445.76013,93.69173317119116,1080.8569238077969,1727.3219908419267,0,0,162,10,828,0,16.2,1.0,82.8,0.0,183.51683242666294,183.51683242666294,0.0,0.02085799945052713,,,,,6,1000,64,64,1.5919797999958973,628.1486737473535
Heuristic-TVD,3096.37982798617,149744.77999317326,700,213.9211142759618,558487855061.7897,35184864523.167946,93.69997678476372,1079.6491878709744,1742.758945424608,0,0,173,10,817,0,17.299999999999997,1.0,81.69999999999999,0.0,255.22000682671725,255.22000682671725,0.0,0.02140729979146272,,,,,7,1000,64,64,1.610311600001296,620.9978242715231
Heuristic-TVD,3291.1657185262893,149999.15144159994,708,211.86320825084738,572797942774.1393,34830985490.813736,93.91914968791221,1117.2323606534974,1712.19870635792,0,0,171,6,823,0,17.1,0.6,82.3,0.0,0.8485583999201936,0.8485583999201936,0.0,0.016466500237584114,,,,,8,1000,64,64,1.664831400004914,600.6614243322467
Heuristic-TVD,3162.9092552563447,149754.70717824,705,212.41802436629789,564774544268.7347,34725519856.40175,93.8514367885748,1071.1130628352614,1721.3722215623684,0,0,170,10,820,0,17.0,1.0,82.0,0.0,245.2928217599966,245.2928217599966,0.0,0.021390999638242647,,,,,9,1000,64,64,1.6310128000041004,613.1159730919868
Heuristic-TVD,4363.801339287738,149697.95800138667,754,198.53840583738284,535363543866.57477,134452938382.57622,74.88567536528316,808.2129114428326,1406.5762039435274,0,0,177,10,813,0,17.7,1.0,81.3,0.0,302.0419986132856,302.0419986132856,0.0,0.049223699927097186,,,,,0,1000,256,256,1.6732858000032138,597.6265381550954
Heuristic-TVD,3950.3180153069384,149881.6875695466,760,197.212746802035,549152281980.975,137350401440.7332,74.98864960639612,820.9670790086373,1481.5105736371863,0,0,170,3,827,0,17.0,0.3,82.69999999999999,0.0,118.31243045340511,118.31243045340511,0.0,0.04933799940044992,,,,,1,1000,256,256,1.682998200005386,594.1777002475699
Heuristic-TVD,4264.046271536591,149891.1744990933,758,197.74561279563758,562850643861.9725,137662248862.0757,75.54195764661246,809.2719182904898,1470.4518371289512,0,0,170,4,826,0,17.0,0.4,82.6,0.0,108.82550090669946,108.82550090669946,0.0,0.04930129984859377,,,,,2,1000,256,256,1.6806792999850586,594.997510833203
Heuristic-TVD,3914.075248638398,149926.43009797332,761,197.01239171875602,567443563442.1177,141955409189.93607,74.98334313128282,842.9265170156651,1470.4056884086017,0,0,168,7,825,0,16.8,0.7000000000000001,82.5,0.0,73.56990202675433,73.56990202675433,0.0,0.04893119994085282,,,,,3,1000,256,256,1.6876333999971393,592.545750754693
Heuristic-TVD,3950.0484129742317,149814.3296494399,760,197.12411795978934,553355858907.4393,137200184082.89673,75.20579535314066,806.4331738694348,1430.9744915813942,0,0,176,7,817,0,17.599999999999998,0.7000000000000001,81.69999999999999,0.0,185.67035056000952,185.67035056000952,0.0,0.04976249989704229,,,,,4,1000,256,256,1.6959899999783374,589.6261180860575
Heuristic-TVD,4086.4801400402184,149887.36262442663,744,201.46150890379923,575906667212.6571,139202431577.55963,75.82899460926743,815.2380740415928,1478.5314197446987,0,0,173,4,823,0,17.299999999999997,0.4,82.3,0.0,112.63737557335685,112.63737557335685,0.0,0.04877020054846071,,,,,5,1000,256,256,1.6703975000127684,598.6598998096896
Heuristic-TVD,3949.8603270428534,149883.59220720004,744,201.45644113870972,556374855379.8488,137441716175.377,75.29692169831387,833.7362812042742,1468.5023232676704,0,0,168,7,825,0,16.8,0.7000000000000001,82.5,0.0,116.40779279996923,116.40779279996923,0.0,0.04923799997777678,,,,,6,1000,256,256,1.6899109999940265,591.7471393484833
Heuristic-TVD,3969.0609258525255,149795.82631946658,737,203.2507819802803,558487855061.7897,139069593115.26776,75.09890468434959,810.3786407009177,1473.9459185310998,0,0,179,4,817,0,17.9,0.4,81.69999999999999,0.0,204.17368053336168,204.17368053336168,0.0,0.04954929978703149,,,,,7,1000,256,256,1.7231370999943465,580.3368751118417
Heuristic-TVD,3899.3838899203633,149633.9689750399,742,201.66303096366562,572797942774.1393,136218919560.86264,76.21867863192111,878.420639780347,1507.8810274917694,0,0,169,0,831,0,16.900000000000002,0.0,83.1,0.0,366.0310249599253,366.0310249599253,0.0,0.04965600004652515,,,,,8,1000,256,256,1.7238663000171073,580.0913910725421
Heuristic-TVD,3822.112548976635,149687.15858037336,742,201.73471506788863,564774544268.7347,134842736103.97726,76.1245018083153,866.8583362389053,1480.7053595608788,0,0,167,4,829,0,16.7,0.4,82.89999999999999,0.0,312.84141962666035,312.84141962666035,0.0,0.05029970084433444,,,,,9,1000,256,256,1.7283995999896433,578.569909415619
Heuristic-TVD,15608.616451392925,142611.58395797302,1000,142.611583957973,535363543866.57477,397975571658.30756,25.662556552880922,2.1433074019753198,8.052135792907087,0,0,191,36,773,0,19.1,3.5999999999999996,77.3,0.0,7388.416042026592,7388.416042026592,0.0,0.11984999987180345,,,,,0,1000,1024,1024,1.8296297999913804,546.5586535618905
Heuristic-TVD,15662.772695492704,147456.88346767967,1000,147.45688346767966,549152281980.975,418779777860.2162,23.740683303811792,2.3391643228922474,8.258949068923023,0,0,189,35,776,0,18.9,3.5000000000000004,77.60000000000001,0.0,2543.116532320061,2543.116532320061,0.0,0.1156445006490685,,,,,1,1000,1024,1024,1.8124664000060875,551.7343659428067
