policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,contact_model,window_count,capacity_gbit,normalized_value
Fixed-Threshold,3255.1282785248836,109474.61568725345,260,421.05621418174405,143751290598.0329,48784444087.374435,66.06330010365696,7.165397066344303,78.25919961500782,0,0,110,78,72,0,42.30769230769231,30.0,27.692307692307693,0.0,40525.384312746755,40525.384312746755,0.0,0.0009846149343782319,,,,,4,fixed-window,16,296.4693387431484,0.8242323664904962
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.009485384977709215,,,,,4,fixed-window,16,296.4693387431484,0.976602024845582
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.001299615206125264,,,,,4,fixed-window,16,296.4693387431484,0.9488385224196342
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.013806922764230806,,,,,4,fixed-window,16,296.4693387431484,1.0
All-Downlink,2080.317853634369,0.0,260,0.0,143751290598.0329,138167619976.2362,3.8842577333167205,62.15773761010635,144.55376750226014,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003030765443467177,,,,,4,tle-derived,25,188.74183308892847,0.5109331092060864
All-On-Board,2530.153665705577,149651.71670047997,153,978.1157954279737,143751290598.0329,0.0,100.0,1.2723023214839486,1154.2811964640387,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,348.28329952004196,348.28329952004196,0.0,0.00034230761229991913,,,,,4,tle-derived,25,188.74183308892847,0.6214143078807302
Fixed-Threshold,3306.271385098312,109474.61568725345,260,421.05621418174405,143751290598.0329,51632003960.26224,64.08240667234136,2.1048105408784674,81.48733853489126,0,0,110,78,72,0,42.30769230769231,30.0,27.692307692307693,0.0,40525.384312746755,40525.384312746755,0.0,0.0009742304637956505,,,,,4,tle-derived,25,188.74183308892847,0.812031447846382
Deadline-Energy,3814.432550931616,67193.68164704,260,258.43723710399996,143751290598.0329,98639928265.83957,31.381535528843894,11.031365251957808,84.51100708255588,0,0,75,2,183,0,28.846153846153847,0.7692307692307693,70.38461538461539,0.0,82806.31835296005,82806.31835296005,0.0,0.010947308552343972,,,,,4,tle-derived,25,188.74183308892847,0.9368375509057815
Priority-Aware,3780.000339713895,79116.98688778667,260,304.29610341456413,143751290598.0329,83698349436.87427,41.775584004377905,15.243430777968538,88.09386136150037,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0013357696633857603,,,,,4,tle-derived,25,188.74183308892847,0.9283808832366672
Heuristic-TVD,4071.6051008455324,149426.4199604266,260,574.7169998477947,143751290598.0329,43778587753.50127,69.54560368023553,1.0463842652887252,62.50451824663489,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,573.5800395733736,573.5800395733736,0.0,0.014242308791905928,,,,,4,tle-derived,25,188.74183308892847,1.0
