policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
Fixed-Threshold,3160.25763127706,97302.33349008001,260,374.23974419261543,145966253614.7567,53835526053.87235,62.1288072494554,9.936737857560608,71.94880900971727,0,0,105.0,89.0,66.0,0.0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,52697.66650991997,52697.66650991997,0.0,0.0010700009834881013,,,,,5,24,main,0.8026665568976984
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,19.07232576932515,16.026909080403055,71.36271956499577,0,0,59.0,1.0,200.0,0.0,22.692307692307693,0.38461538461538464,76.92307692307692,0.0,94275.05498682667,94275.05498682667,0.0,0.010386922244484035,,,,,5,24,main,0.948997807285672
Priority-Aware,3721.6376738607496,81787.42338042668,260,314.5670130016411,145966253614.7567,97435093163.56842,31.458212367568137,16.058096002124003,74.03864247899895,0,0,85.0,9.0,166.0,0.0,32.69230769230769,3.4615384615384617,63.84615384615385,0.0,68212.57661957334,68212.57661957334,0.0,0.0014242310918724309,,,,,5,24,main,0.9452501809137079
Energy-WSRPT,3471.765746386301,149994.31164517338,259,579.1286163906308,145966253614.7567,45220625639.267715,68.18905367115393,0.9832486245364028,70.00163995268541,0,0,157.0,15.0,88.0,0.0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,5.6883548266966955,5.6883548266966955,0.0,0.011603461238197409,,,,,5,24,main,0.881785785572541
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,62.96843006858697,0.9832486245364028,61.70983823207116,0,0,166.0,0.0,94.0,0.0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.014621538083212307,,,,,5,24,main,1.0
MILP-Ref,2904.4141942751703,,260,,145966253614.7567,,,,,0,0,,,,,,,,,,,,,,,,,5,24,main,0.7376854716055491
All-Downlink,2656.6870243738504,0.0,257,0.0,136511684238.74997,125544697380.47523,0.0,35.892371621477345,112.48918967135168,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003073071219170323,,,,,6,24,main,0.6716396615968278
All-On-Board,2566.6595851616535,149652.1489362133,150,997.6809929080888,136511684238.74997,0.0,100.0,1.2645403243952993,1209.4404617080772,0,110,150.0,0.0,0.0,110.0,57.69230769230769,0.0,0.0,42.30769230769231,347.8510637866695,347.8510637866695,0.0,0.0003803857208157961,,,,,6,24,main,0.648879736075996
Fixed-Threshold,3188.616449032397,99648.48075525332,258,386.2344215319896,136511684238.74997,44829547598.12704,64.29196251732816,3.3926807072806695,75.48668826362353,0,0,105.0,89.0,66.0,0.0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,50351.51924474671,50351.51924474671,0.0,0.0012073086019462119,,,,,6,24,main,0.8061172630204523
Deadline-Energy,3774.4549894033107,59623.26823472,260,229.32026244123077,136511684238.74997,94917012113.92496,24.39584140597364,14.60893868356937,73.92129724806482,0,0,66.0,1.0,193.0,0.0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.010689614506330915,,,,,6,24,main,0.954223681049816
