policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,profile_source,memory_gb,quant_used,normalized_value
Deadline-Energy,3987.9015633096137,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,29.62778158753072,10.752650312716167,66.8191582745461,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,85776.62216437332,85776.62216437332,0.0,0.009914231374680709,,,,,9,RTX4090 measured,measured,16,INT4,0.9916659151008066
Priority-Aware,3933.4652272263816,80627.39004437336,260,310.10534632451294,145047080871.27374,88415641780.66504,39.04348763893285,11.438537449130916,76.80100423138477,0,0,88,6,166,0,33.84615384615385,2.307692307692308,63.84615384615384,0.0,69372.60995562666,69372.60995562666,0.0,0.0013153852285960545,,,,,9,RTX4090 measured,measured,16,INT4,0.9781293073937917
Energy-WSRPT,3445.5022080778594,149772.53937029318,256,585.0489819152077,145047080871.27374,39449361301.11854,72.80237488120906,0.9832486245364028,79.09861167966864,0,0,157,29,74,0,60.38461538461538,11.153846153846155,28.46153846153846,0.0,227.46062970671636,227.46062970671636,0.0,0.011854229132250812,,,,,9,RTX4090 measured,measured,16,INT4,0.8567882245618275
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384615,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.013023077246124068,,,,,9,RTX4090 measured,measured,16,INT4,1.0
Deadline-Energy,3756.0911035557356,26122.36905124799,260,100.47065019710766,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,123877.63094875196,123877.63094875196,0.0,0.009741539319153301,,,,,0,Edge-NPU synthetic,scaled,12,INT4,0.8697048442382471
Priority-Aware,3633.601455142378,32431.40601475199,259,125.21778384074126,141896346105.7374,89315751073.92041,37.05563707231426,20.631380747971463,110.33912208829416,0,0,78,12,170,0,30.0,4.615384615384616,65.38461538461539,0.0,117568.59398524796,117568.59398524796,0.0,0.0014065393210890202,,,,,0,Edge-NPU synthetic,scaled,12,INT4,0.8413429548013032
Energy-WSRPT,4080.230416291701,96976.97001036804,260,372.9883461937232,141896346105.7374,4060444611.0222363,97.13844315061044,0.4899157817301481,1.05781900357971,0,0,236,22,2,0,90.76923076923077,8.461538461538462,0.7692307692307693,0.0,53023.02998963187,53023.02998963187,0.0,0.012349614049666204,,,,,0,Edge-NPU synthetic,scaled,12,INT4,0.9447577443736185
Heuristic-TVD,4318.81129378508,109279.75493443204,260,420.30674974781556,141896346105.7374,0.0,100.0,0.5202034286900016,1.11475317999187,0,0,260,0,0,0,100.0,0.0,0.0,0.0,40720.24506556788,40720.24506556788,0.0,0.013552691626290862,,,,,0,Edge-NPU synthetic,scaled,12,INT4,1.0
Deadline-Energy,3866.805579100712,31126.04433542399,260,119.71555513624612,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,118873.95566457586,118873.95566457586,0.0,0.009225769183383538,,,,,1,Edge-NPU synthetic,scaled,12,INT4,0.888310452278841
Priority-Aware,3744.4269180149804,36715.04888167998,260,141.2117264679999,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,113284.95111831995,113284.95111831995,0.0,0.001496924065017643,,,,,1,Edge-NPU synthetic,scaled,12,INT4,0.8601967440629685
Energy-WSRPT,4059.8499192666113,99472.88668683213,260,382.58802571858513,138183152908.2682,4552396811.278288,96.70553412954736,0.48432733015961277,1.0577572241356998,0,0,231,28,1,0,88.84615384615384,10.76923076923077,0.38461538461538464,0.0,50527.113313167785,50527.113313167785,0.0,0.012182307322151385,,,,,1,Edge-NPU synthetic,scaled,12,INT4,0.9326579897008083
Heuristic-TVD,4352.98894567878,110601.35886249616,260,425.3898417788314,138183152908.2682,0.0,100.0,0.5066378099740481,1.0579246685375558,0,0,260,0,0,0,100.0,0.0,0.0,0.0,39398.64113750383,39398.64113750383,0.0,0.014528846636844369,,,,,1,Edge-NPU synthetic,scaled,12,INT4,1.0
