policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,beta,lambda_energy,lambda_bandwidth,epsilon,is_default,normalized_value
Heuristic-TVD,3646.268793602998,149905.04416527995,257,583.2881095925289,138183152908.2682,43175808788.27688,68.75465070844142,1.0796455485105374,111.78914483510077,0,0,161,1,98,0,61.92307692307692,0.38461538461538464,37.69230769230769,0.0,94.95583471997406,94.95583471997406,0.0,0.013194231052274028,,,,,1,0.0,4.0,0.9,0.015,0,0.9228974111376061
Heuristic-TVD,3503.876401087591,149988.82686965325,253,592.8412129235306,143551818802.25815,46598836653.9086,67.53866510176493,1.0218073941260324,754.0107986472566,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.173130346692119,11.173130346692119,0.0,0.01357923118540874,,,,,2,0.0,4.0,0.9,0.015,0,0.9142252131722919
Heuristic-TVD,3729.7245651776325,149892.12366410662,255,587.8122496631632,145714942829.99643,50730179391.679436,65.18532800656854,1.079645548510598,77.65385075632592,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,107.87633589335087,107.87633589335087,0.0,0.013706538951597534,,,,,3,0.0,4.0,0.9,0.015,0,0.9357819935093947
Heuristic-TVD,3506.186545887871,149937.01226885326,259,578.9073832774257,143751290598.0329,43969822651.15958,69.41257190232054,1.1894509169151812,726.9090733329451,0,0,156,3,101,0,60.0,1.1538461538461537,38.84615384615385,0.0,62.987731146708995,62.987731146708995,0.0,0.013047691139105994,,,,,4,0.0,4.0,0.9,0.015,0,0.8878029333405907
Heuristic-TVD,3496.3266992525228,149926.59370944,259,578.867157179305,145966253614.7567,50354084576.73675,65.50292733439991,1.1445659766542349,70.13461928755096,0,0,156,4,100,0,60.0,1.5384615384615385,38.46153846153846,0.0,73.40629056000967,73.40629056000967,0.0,0.0133973067232336,,,,,5,0.0,4.0,0.9,0.015,0,0.8852599231227382
Heuristic-TVD,3602.5178247855056,149907.82057626662,257,583.2989127481192,136511684238.74997,47454278482.1963,65.23793641048199,1.1894509169151812,110.72537450054526,0,0,153,3,104,0,58.84615384615385,1.1538461538461537,40.0,0.0,92.17942373333608,92.17942373333608,0.0,0.012854615320415737,,,,,6,0.0,4.0,0.9,0.015,0,0.9107560772258247
Heuristic-TVD,3734.6658040812385,149790.05638794656,254,589.7246314486085,139247165035.33093,56847051848.289116,59.1754332421307,1.1894509169151812,69.26924140178392,0,0,156,0,104,0,60.0,0.0,40.0,0.0,209.94361205336645,209.94361205336645,0.0,0.013429615780926095,,,,,7,0.0,4.0,0.9,0.015,0,0.9095423416716857
Heuristic-TVD,3501.6827261257345,149940.68692799992,256,585.7058083124997,147675122448.8456,55846019674.89438,62.183190540952936,1.2567783273065893,79.33171732849058,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,59.31307199992051,59.31307199992051,0.0,0.013454615635475,,,,,8,0.0,4.0,0.9,0.015,0,0.9123748108366148
Heuristic-TVD,3549.47364494377,149706.69227690657,256,584.7917667066663,145047080871.27374,47279811104.595116,67.40381756006867,1.0796455485105754,79.09861167966864,0,0,160,4,96,0,61.53846153846154,1.5384615384615385,36.92307692307692,0.0,293.30772309329564,293.30772309329564,0.0,0.013777307154109271,,,,,9,0.0,4.0,0.9,0.015,0,0.8826426566352237
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.014283077885360958,,,,,0,0.0,8.0,0.2,0.015,1,1.0
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.014551923959515989,,,,,1,0.0,8.0,0.2,0.015,1,1.0
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.01419346204224544,,,,,2,0.0,8.0,0.2,0.015,1,1.0
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.013758461416448252,,,,,3,0.0,8.0,0.2,0.015,1,1.0
