policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,rho,eta,eta_model,normalized_value
Heuristic-TVD,3542.398869384398,86779.29956895983,260,333.7665368036917,136511684238.74997,7459474394.333953,94.53565133568506,1.2645403243952993,67.7883897586873,0,0,108,152,0,0,41.53846153846154,58.46153846153846,0.0,0.0,63220.700431039935,63220.700431039935,0.0,0.014985384656868588,,,,,6,PRE,0.1,0.7606797181058933,optimistic,0.8955573449360582
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.010468460991083143,,,,,6,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3629.3945182033226,95365.2273347202,260,366.78933590277,139247165035.33093,8208178813.382544,94.1053171091132,1.2645403243952993,65.3931169132708,0,0,108,152,0,0,41.53846153846154,58.46153846153846,0.0,0.0,54634.77266527978,54634.77266527978,0.0,0.015295000048354268,,,,,7,PRE,0.1,0.7606797181058933,optimistic,0.8826569382149324
Heuristic-TVD,4111.897115478791,149670.5285704532,258,580.1183277924542,139247165035.33093,48006134866.0227,65.5245154514692,1.021807394126055,61.38957043915382,0,0,169,0,91,0,65.0,0.0,35.0,0.0,329.4714295466986,329.4714295466986,0.0,0.01013038373247792,,,,,7,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3442.162323748783,85507.20658858652,260,328.8738714945635,147675122448.8456,9251234680.900993,93.73541424751105,1.359617186683863,69.2678112393684,0,0,102,158,0,0,39.23076923076923,60.76923076923077,0.0,0.0,64492.793411413084,64492.793411413084,0.0,0.014929615561133968,,,,,8,PRE,0.1,0.7606797181058933,optimistic,0.8968665766226963
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.01066922984766559,,,,,8,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3686.1720125589127,88763.18014810659,260,341.3968467234869,145047080871.27374,7736905163.033202,94.66593528352388,1.1445659766542424,60.03219880148438,0,0,115,145,0,0,44.23076923076923,55.76923076923077,0.0,0.0,61236.81985189314,61236.81985189314,0.0,0.014747307040334608,,,,,9,PRE,0.1,0.7606797181058933,optimistic,0.9150925849366863
Heuristic-TVD,4028.1956965195523,149522.0178698665,257,581.7977349022043,145047080871.27374,41111842808.23144,71.65620806618139,0.9832486245364028,70.43976702267629,0,0,172,0,88,0,66.15384615384616,0.0,33.84615384615385,0.0,477.9821301333002,477.9821301333002,0.0,0.011569616281821463,,,,,9,No PRE,0.1,0.7606797181058933,optimistic,1.0
Heuristic-TVD,3723.710600761268,138756.58479488033,260,533.6791722880013,141896346105.7374,12136952362.97623,91.44660683938113,0.7175219706068068,49.28416357116229,0,0,168,92,0,0,64.61538461538461,35.38461538461539,0.0,0.0,11243.415205120087,11243.415205120087,0.0,0.014467309049975414,,,,,0,PRE,0.25,0.675,conservative,0.9591031436694476
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.00989076820237992,,,,,0,No PRE,0.25,0.675,conservative,1.0
Heuristic-TVD,3787.1391767361647,138703.53900656028,260,533.4751500252319,138183152908.2682,11961909210.349455,91.34343879221639,0.8030422550266887,57.37103574558146,0,0,171,89,0,0,65.76923076923077,34.23076923076923,0.0,0.0,11296.460993440052,11296.460993440052,0.0,0.014653461179337822,,,,,1,PRE,0.25,0.675,conservative,0.9585527397101046
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.010795384430541443,,,,,1,No PRE,0.25,0.675,conservative,1.0
Heuristic-TVD,3727.5982097364436,143377.72294090688,260,551.4527805419496,143551818802.25815,12607449421.425913,91.21749238245974,0.7055244342351292,43.67863257590276,0,0,168,92,0,0,64.61538461538461,35.38461538461539,0.0,0.0,6622.277059093414,6622.277059093414,0.0,0.014596923518603524,,,,,2,PRE,0.25,0.675,conservative,0.9725983105052348
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.010294615752242792,,,,,2,No PRE,0.25,0.675,conservative,1.0
Heuristic-TVD,3678.492110956065,137900.852340267,260,530.3878936164116,145714942829.99643,14456078056.083282,90.0792068573578,0.9832486245364028,57.440254857869185,0,0,158,102,0,0,60.76923076923077,39.23076923076923,0.0,0.0,12099.14765973345,12099.14765973345,0.0,0.014875384826714603,,,,,3,PRE,0.25,0.675,conservative,0.9229278517876577
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.01057384528954012,,,,,3,No PRE,0.25,0.675,conservative,1.0
Heuristic-TVD,3753.345580630299,139145.95947141366,260,535.1767671977449,143751290598.0329,11568306267.566517,91.9525548470277,1.0025280093312177,53.77581560385625,0,0,165,95,0,0,63.46153846153846,36.53846153846154,0.0,0.0,10854.040528586804,10854.040528586804,0.0,0.014546154237065751,,,,,4,PRE,0.25,0.675,conservative,0.9503861738995698
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.010978460061148955,,,,,4,No PRE,0.25,0.675,conservative,1.0
