model,scale_b,modality,quant,image_size,context_len,prefill_tokens,decode_tokens,vision_prefill_j_per_image,prefill_j_per_tok,decode_j_per_tok,prefill_active_j_per_tok,decode_active_j_per_tok,tokens_per_sec,peak_mem_gb,gpu_power_w,idle_power_w,prefill_avg_power_w,decode_avg_power_w,prefill_active_avg_power_w,decode_active_avg_power_w,seed,sample_id,prefill_repeats,generate_repeats,run_id
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.39039618271566,1.39039618271566,0.08709266793665786,0.565067427300848,0.0,731.6210364277598,0.45084095001220703,74.95387976735766,51.562,74.95387976735766,63.718827981076345,30.461818388794725,25.81975994139174,0,46,8,4,vlm_4090_1783047119
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.338610999736702,1.338610999736702,0.8551291237300611,0.5424238920146599,0.3470280815980515,47.93510053593357,0.45168447494506836,74.46555438400665,51.562,74.46555438400665,73.07392694264793,30.174483728243004,29.635397878602305,0,47,8,4,vlm_4090_1783047119
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.6435529915401714,1.6435529915401714,0.7060966654788934,0.6685886060660707,0.28723636399337565,49.26561975643707,0.45084095001220703,78.16911755337948,51.562,78.16911755337948,75.27161819815765,31.798780819018944,30.620093508687862,0,48,8,4,vlm_4090_1783047119
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.6089356574512788,1.6089356574512788,0.08653315768111498,0.6516660144851777,0.0,739.8176113209481,0.45168447494506836,78.71812959103397,51.562,78.71812959103397,64.01875401570143,31.88314556939964,25.47894088601554,0,49,8,4,vlm_4090_1783047120
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.7320167496742218,1.7320167496742218,0.08604731740197168,0.6893285109503197,0.0,748.6923750159109,0.45084095001220703,82.6740853663128,51.562,82.6740853663128,64.4229704294301,32.90361029733649,25.639815715101147,0,50,8,4,vlm_4090_1783047120
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.1438907584619011,1.1438907584619011,0.009639973634877237,0.45506654050934603,0.003818662744395744,752.8172662832226,0.45168447494506836,64.66651951297932,51.562,63.05037947397194,64.66651951297932,25.082917973392753,25.713551848307542,0,51,8,4,vlm_4090_1783047120
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.56027548557485,1.56027548557485,0.057267511664936314,0.6204172560720472,0.0,785.2508646052654,0.45084095001220703,85.39209182649982,51.562,85.39209182649982,44.96936304868336,33.95472645122694,17.88130947894293,0,52,8,4,vlm_4090_1783047120
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3377676428726408,1.3377676428726408,0.02888956499067136,0.5378063480891289,0.013184446540568029,609.504057932475,0.45168447494506836,71.96662755382727,51.562,70.73444269979606,71.96662755382727,28.436502045160253,29.888983770881275,0,53,8,4,vlm_4090_1783047121
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.6718541724984535,1.6718541724984535,0.059044592669047415,0.6943499220067171,0.0,798.3338399915895,0.45084095001220703,85.90318171336374,51.562,85.90318171336374,47.137296396219874,35.6770754913782,19.576933571551113,0,54,8,4,vlm_4090_1783047121
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.640208727802732,1.640208727802732,0.08886099162460305,0.6839154748652364,0.0,713.5646775075126,0.45168447494506836,64.49449142223492,51.562,64.49449142223492,63.408064831607646,26.892175355217763,26.46808676380111,0,55,8,4,vlm_4090_1783047121
