policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,sweep_type,sweep_value,sweep_label,downlink_rate_mbps,visible_min,normalized_value
Fixed-Threshold,2812.067225732427,109474.61568725345,246,445.01876295631484,143751290598.0329,37658104197.950165,73.8032931452057,47.99029343954295,1025.897604996405,0,0,110,78,72,0,42.30769230769231,30.0,27.692307692307693,0.0,40525.384312746755,40525.384312746755,0.0,0.0010546153554549585,,,,,4,24,rate,5.0,5 Mbps,5.0,10.0,0.8004935556145121
Deadline-Energy,3512.916757429355,149991.1637333864,253,592.8504495390767,143751290598.0329,40597848792.12468,71.75827178787067,1.1894509169151812,765.6491544562256,0,0,161,21,78,0,61.92307692307692,8.076923076923077,30.0,0.0,8.836266613360692,8.836266613360692,0.0,0.010798847898303602,,,,,4,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,2265.7097812838897,79116.98688778667,255,310.26269367759477,143751290598.0329,40597848792.12473,71.75827178787063,316.7481176708483,1303.9547448770309,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0020046164326441404,,,,,4,24,rate,5.0,5 Mbps,5.0,10.0,0.6449654055969908
Heuristic-TVD,3291.2904867682287,149795.07061973322,240,624.1461275822218,143751290598.0329,19174774180.288364,86.66114641439556,1.1445659766542349,856.1308009243484,0,0,166,8,86,0,63.84615384615385,3.076923076923077,33.07692307692308,0.0,204.92938026669844,204.92938026669844,0.0,0.014124230633919628,,,,,4,24,rate,5.0,5 Mbps,5.0,10.0,0.9369110383294975
All-Downlink,240.10447863504277,0.0,185,0.0,145966253614.7567,42352762677.59253,70.98455182019497,954.7122765369108,1621.8860844053143,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00030846131267026067,,,,,5,24,rate,5.0,5 Mbps,5.0,10.0,0.07115948920399358
All-On-Board,2454.6520370557223,149928.29939221338,153,979.9235254393031,145966253614.7567,0.0,100.0,1.1894509169151812,1280.093058700196,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,71.70060778667579,71.70060778667579,0.0,0.0004342310533572275,,,,,5,24,rate,5.0,5 Mbps,5.0,10.0,0.7274824115043996
Fixed-Threshold,2691.2658961688753,97302.33349008001,252,386.12037099238097,145966253614.7567,40771359352.780846,72.06795519984558,48.47953178726861,999.0766325605485,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,52697.66650991997,52697.66650991997,0.0,0.0010180770634458615,,,,,5,24,rate,5.0,5 Mbps,5.0,10.0,0.797607389800495
Deadline-Energy,3374.173723292659,149996.0086295466,257,583.6420569243057,145966253614.7567,42352762677.5926,70.98455182019492,1.1666232575890414,733.0932709789936,0,0,158,12,90,0,60.76923076923077,4.615384615384615,34.61538461538461,0.0,3.991370453278506,3.991370453278506,0.0,0.011296539070407072,,,,,5,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,2075.0881299346956,81787.42338042668,257,318.23900148025945,145966253614.7567,42352762677.592804,70.98455182019478,436.50542067497304,1455.8420788773487,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615385,0.0,68212.57661957334,68212.57661957334,0.0,0.0013992296701941926,,,,,5,24,rate,5.0,5 Mbps,5.0,10.0,0.6149914912827128
Heuristic-TVD,3088.9356143836826,149681.19442650667,241,621.0837943008576,145966253614.7567,22529069581.88052,84.56556291336993,1.1040289644706718,925.2223677644378,0,0,161,5,94,0,61.92307692307692,1.9230769230769231,36.15384615384615,0.0,318.80557349334345,318.80557349334345,0.0,0.014444615562052395,,,,,5,24,rate,5.0,5 Mbps,5.0,10.0,0.915464308509098
All-Downlink,245.81268893899957,0.0,188,0.0,136511684238.74997,40556864540.44043,70.29055441913006,965.2797036072877,1629.7803208875748,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003188456713150327,,,,,6,24,rate,5.0,5 Mbps,5.0,10.0,0.0719077398817238
All-On-Board,2566.6595851616535,149652.1489362133,150,997.6809929080888,136511684238.74997,0.0,100.0,1.2645403243952993,1209.4404617080772,0,110,150,0,0,110,57.69230769230769,0.0,0.0,42.30769230769231,347.8510637866695,347.8510637866695,0.0,0.0003765386421806537,,,,,6,24,rate,5.0,5 Mbps,5.0,10.0,0.750826536300321
Fixed-Threshold,2720.9795016594594,99648.48075525332,251,397.00589942332,136511684238.74997,37682552288.78572,72.39609744841957,101.75813507774353,886.2141751834239,0,0,105,89,66,0,40.38461538461539,34.23076923076923,25.384615384615383,0.0,50351.51924474671,50351.51924474671,0.0,0.0010823074262589216,,,,,6,24,rate,5.0,5 Mbps,5.0,10.0,0.7959698381452772
Deadline-Energy,3418.44548783372,149976.5139358932,257,583.5662020851876,136511684238.74997,40385146884.573006,70.41634413216818,1.1894509169151812,301.1295520854994,0,0,157,22,81,0,60.38461538461539,8.461538461538462,31.153846153846153,0.0,23.48606410675805,23.48606410675805,0.0,0.010470769596465219,,,,,6,24,rate,5.0,5 Mbps,5.0,10.0,1.0
Priority-Aware,1943.464379605076,72969.55644367999,255,286.155123308549,136511684238.74997,39465965566.85082,71.08967940222067,457.4022442465181,1311.4306723745296,0,0,77,17,166,0,29.615384615384617,6.538461538461538,63.84615384615385,0.0,77030.44355632007,77030.44355632007,0.0,0.0015780767381119614,,,,,6,24,rate,5.0,5 Mbps,5.0,10.0,0.5685228524257251
Heuristic-TVD,3364.358215160734,149930.8566172265,245,611.9626800703122,136511684238.74997,20184383325.374603,85.21417163817755,1.1445659766542424,886.2141751834239,0,0,166,3,91,0,63.84615384615385,1.1538461538461537,35.0,0.0,69.14338277332592,69.14338277332592,0.0,0.014568847277237533,,,,,6,24,rate,5.0,5 Mbps,5.0,10.0,0.9841778162426508
