policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,hardware_profile,throughput_scale,energy_scale,profile_source,normalized_value
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.3846153846153846,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.0141446161880874,,,,,7,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2533.5936614346742,0.0,256,0.0,147675122448.8456,136992547483.91032,7.233835183468839,31.06743035179552,79.44232709372092,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0005292313289828,,,,,8,RTX4090-measured,1.0,1.0,measured,0.6601360598268278
All-On-Board,2392.2520581169592,149649.83337631993,150,997.6655558421328,147675122448.8456,0.0,100.0,1.279891391770161,1254.5592709639975,0,110,150,0,0,110,57.69230769230769,0.0,0.0,42.30769230769231,350.1666236799206,350.1666236799206,0.0,0.0004450005900043,,,,,8,RTX4090-measured,1.0,1.0,measured,0.6233090458805867
Fixed-Threshold,3052.4337548465774,100434.51246607996,258,389.2810560700773,147675122448.8456,50189131471.69479,66.01382098797298,7.909545745180791,77.9508158178969,0,0,98,103,59,0,37.69230769230769,39.61538461538461,22.692307692307693,0.0,49565.487533920204,49565.487533920204,0.0,0.001511921828541,,,,,8,RTX4090-measured,1.0,1.0,measured,0.7953215318141431
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03851,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.3846153846153846,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.0116050011666419,,,,,8,RTX4090-measured,1.0,1.0,measured,0.9920789887534684
Priority-Aware,3757.5334994027057,87253.41095210667,259,336.88575657184043,147675122448.8456,91277240214.14523,38.19050988377308,11.816140087959743,78.44504524348606,0,0,85,8,167,0,32.69230769230769,3.076923076923077,64.23076923076923,0.0,62746.589047893365,62746.589047893365,0.0,0.0016269233758346,,,,,8,RTX4090-measured,1.0,1.0,measured,0.9790375610422132
Heuristic-TVD,3837.987069058623,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.0142892302112438,,,,,8,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2555.748586379738,0.0,256,0.0,145047080871.27374,138274748222.04004,4.669058217892719,37.4960716972247,80.08159020947357,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0004334611451038,,,,,9,RTX4090-measured,1.0,1.0,measured,0.6355344334468682
All-On-Board,2638.3301762790907,149873.5611089066,158,948.5668424614342,145047080871.27374,0.0,100.0,1.1894509169151812,1147.0703465055208,0,102,158,0,0,102,60.76923076923077,0.0,0.0,39.23076923076923,126.43889109329524,126.43889109329524,0.0,0.0003976924255347,,,,,9,RTX4090-measured,1.0,1.0,measured,0.6560698821328325
Fixed-Threshold,3417.104630458127,102460.60073781348,259,395.6007750494729,145047080871.27374,44879980875.95698,69.058335675306,1.2723023214840092,75.09492307096168,0,0,116,86,58,0,44.61538461538461,33.07692307692308,22.307692307692307,0.0,47539.39926218667,47539.39926218667,0.0,0.0011873086735319,,,,,9,RTX4090-measured,1.0,1.0,measured,0.8497266385748485
Deadline-Energy,3987.9015633096137,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,29.62778158753072,10.752650312716169,66.8191582745461,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,85776.62216437332,85776.62216437332,0.0,0.010345001758721,,,,,9,RTX4090-measured,1.0,1.0,measured,0.9916659151008066
Priority-Aware,3933.4652272263816,80627.39004437336,260,310.10534632451294,145047080871.27374,88415641780.66504,39.04348763893285,11.438537449130916,76.80100423138477,0,0,88,6,166,0,33.84615384615385,2.3076923076923075,63.84615384615385,0.0,69372.60995562666,69372.60995562666,0.0,0.0017673087243635,,,,,9,RTX4090-measured,1.0,1.0,measured,0.9781293073937916
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384616,0.3846153846153846,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.0168165381182916,,,,,9,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2608.328853807614,0.0,254,0.0,141896346105.7374,127474006832.71404,10.163996233050444,35.479692026056966,736.9298172144859,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003626927187164,,,,,0,OrinAGX-literature,0.2,2.7,literature-derived,0.7447031974586266
All-On-Board,758.3020888728929,149440.87984896006,56,2668.587140160001,141896346105.7374,0.0,100.0,1031.7771339910664,1713.3513841195618,0,204,56,0,0,204,21.53846153846154,0.0,0.0,78.46153846153847,559.1201510399906,559.1201510399906,0.0,0.0004034613644202,,,,,0,OrinAGX-literature,0.2,2.7,literature-derived,0.2165026044928501
Fixed-Threshold,2279.773901005656,149982.9551923836,254,590.4840755605654,141896346105.7374,63692585998.5591,55.11330083785451,24.749634600030426,736.9298172144859,0,0,56,101,103,0,21.53846153846154,38.84615384615385,39.61538461538461,0.0,17.044807616002288,17.044807616002288,0.0,0.0013188466814776,,,,,0,OrinAGX-literature,0.2,2.7,literature-derived,0.6508975703287075
Deadline-Energy,3502.5079289424225,149528.19795273597,259,577.3289496244632,141896346105.7374,105779966974.30736,25.452649150329123,16.04559071385335,73.16139224318398,0,0,62,3,195,0,23.846153846153847,1.1538461538461535,75.0,0.0,471.8020472639385,471.8020472639385,0.0,0.0102807687094005,,,,,0,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3109.3560452568977,149982.683274688,254,590.4830050184567,141896346105.7374,93270571352.7282,34.26851789176766,25.161879146449124,736.9298172144859,0,0,60,14,186,0,23.07692307692308,5.384615384615385,71.53846153846153,0.0,17.31672531199206,17.31672531199206,0.0,0.0018676920892455,,,,,0,OrinAGX-literature,0.2,2.7,literature-derived,0.8877513222920136
Heuristic-TVD,3192.1831240274278,149759.22299798403,254,589.6032401495435,141896346105.7374,90402741651.90083,36.289591569514336,18.398798533857917,729.9139444542953,0,0,71,3,186,0,27.307692307692307,1.1538461538461535,71.53846153846153,0.0,240.7770020159849,240.7770020159849,0.0,0.0149969230943287,,,,,0,OrinAGX-literature,0.2,2.7,literature-derived,0.9113992569864938
All-Downlink,2566.311992562992,0.0,257,0.0,138183152908.2682,131685291155.26337,4.702354531828057,39.57007844914237,111.89255143557872,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003515388995695,,,,,1,OrinAGX-literature,0.2,2.7,literature-derived,0.7485465000450818
All-On-Board,834.069749241691,149610.965111424,57,2624.753773884632,138183152908.2682,0.0,100.0,1119.8164865167969,1779.4836312289713,0,203,57,0,0,203,21.923076923076923,0.0,0.0,78.07692307692308,389.0348885759265,389.0348885759265,0.0,0.0004073075475529,,,,,1,OrinAGX-literature,0.2,2.7,literature-derived,0.2432829653594903
Fixed-Threshold,2366.40872879497,149998.0708097275,257,583.6500809717023,138183152908.2682,62847973061.55911,54.5183535482938,20.003734652721626,114.0521055238665,0,0,58,99,103,0,22.307692307692307,38.07692307692308,39.61538461538461,0.0,1.9291902719596408,1.9291902719596408,0.0,0.0013230769232345,,,,,1,OrinAGX-literature,0.2,2.7,literature-derived,0.6902383563451812
Deadline-Energy,3428.393549910972,149983.6456525759,258,581.3319598937051,138183152908.2682,98054740865.7375,29.040017685201917,14.614500022575642,79.4957022038327,0,0,57,10,193,0,21.923076923076923,3.8461538461538463,74.23076923076923,0.0,16.354347423947985,16.354347423947985,0.0,0.0125661537122841,,,,,1,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3003.4939563951493,149568.5788379518,257,581.9789059842482,138183152908.2682,87084717872.54013,36.97877343242367,20.2236110307534,111.89255143557872,0,0,58,39,163,0,22.307692307692307,15.0,62.69230769230769,0.0,431.4211620479109,431.4211620479109,0.0,0.0015823069798688,,,,,1,OrinAGX-literature,0.2,2.7,literature-derived,0.8760645219604801
Heuristic-TVD,3174.142261238228,149742.98904595207,258,580.3991823486514,138183152908.2682,92901872936.97205,32.76903082487615,13.61902882650379,79.45245474689665,0,0,67,3,190,0,25.76923076923077,1.1538461538461535,73.07692307692308,0.0,257.01095404796354,257.01095404796354,0.0,0.0175007681648891,,,,,1,OrinAGX-literature,0.2,2.7,literature-derived,0.92583952659713
All-Downlink,2556.686277673104,0.0,253,0.0,143551818802.25815,133655118349.4292,6.894165838791344,37.74642688290108,754.0107986472566,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.000393846802091,,,,,2,OrinAGX-literature,0.2,2.7,literature-derived,0.7661937241782185
