policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.3846153846153846,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.0098973077211457,,,,,4,24,260,1,fixed-window,10,283,0.976602024845582
Energy-WSRPT,3385.3319243306705,149904.75896778662,259,578.7828531574773,143751290598.0329,45158969510.27501,68.5853467315632,1.1445659766542424,726.9090733329451,0,0,153,12,95,0,58.84615384615385,4.615384615384615,36.53846153846154,0.0,95.24103221335204,95.24103221335204,0.0,0.0123957703740765,,,,,4,24,260,1,fixed-window,10,283,0.8572012850477788
ActiveInf-inspired,3432.171178530017,149991.08140047977,259,579.1161444033968,143751290598.0329,41365535728.2497,71.22423349650556,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.03009884542105,,,,,4,24,260,1,fixed-window,10,283,0.8690614718146341
LEO-DRL-inspired,3566.4128963889366,149995.8063173332,259,579.1343873256108,143751290598.0329,43634693902.01404,69.64570285213763,1.1445659766542424,726.9090733329451,0,0,158,6,96,0,60.76923076923077,2.3076923076923075,36.92307692307692,0.0,4.193682666699687,4.193682666699687,0.0,0.0531623073934147,,,,,4,24,260,1,fixed-window,10,283,0.9030528722526986
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470055,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.0136499997237339,,,,,4,24,260,1,fixed-window,10,283,1.0
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.3267115891281,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.3846153846153846,76.92307692307692,0.0,94275.05498682668,94275.05498682668,0.0,0.0098811525206726,,,,,5,24,260,1,fixed-window,10,283,0.948997807285672
Energy-WSRPT,3471.765746386301,149994.31164517338,259,579.1286163906308,145966253614.7567,45220625639.26772,69.01980799026546,0.9832486245364028,70.00163995268541,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,5.688354826696696,5.688354826696696,0.0,0.0114911540339772,,,,,5,24,260,1,fixed-window,10,283,0.881785785572541
ActiveInf-inspired,3453.901779657783,149999.74459221333,259,579.1495930201287,145966253614.7567,51324744009.61919,64.83793840110559,1.1894509169151757,70.00163995268541,0,0,153,4,103,0,58.84615384615385,1.5384615384615383,39.61538461538461,0.0,0.2554077866757609,0.2554077866757609,0.0,0.0280380774011763,,,,,5,24,260,1,fixed-window,10,283,0.8772485578083855
LEO-DRL-inspired,3518.509299457035,149985.75886922653,259,579.0955940896777,145966253614.7567,44664308649.79151,69.40093511773458,1.079645548510598,70.0118414173031,0,0,157,20,83,0,60.38461538461539,7.6923076923076925,31.923076923076923,0.0,14.24113077332521,14.24113077332521,0.0,0.055322307609738,,,,,5,24,260,1,fixed-window,10,283,0.8936580729547849
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.0140134623507037,,,,,5,24,260,1,fixed-window,10,283,1.0
