policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,normalized_value,robustness_variant
Energy-WSRPT,3572.932791979468,149952.59382005318,255,588.0493875296203,143551818802.25815,43655425676.88049,69.58908215784044,0.7668729075820011,69.98095336235453,0,0,158,16,86,0,60.76923076923077,6.153846153846154,33.07692307692308,0.0,47.40617994665374,47.40617994665374,0.0,0.013439615857071,,,,,2,24,260,1,tle,10,283,0.897856920617318,tle
ActiveInf-inspired,3652.688867835718,149995.79092005303,256,585.9210582814571,143551818802.25815,45552442980.28546,68.26759607759921,1.0796455485105374,70.78351584719623,0,0,158,21,81,0,60.76923076923077,8.076923076923077,31.15384615384616,0.0,4.209079946691958,4.209079946691958,0.0,0.032603460847615,,,,,2,24,260,1,tle,10,283,0.9178991517025384,tle
LEO-DRL-inspired,3761.490131783074,149993.22218261322,255,588.2087144416205,143551818802.25815,44332049993.17988,69.11773716065065,0.9832486245364028,75.6677732137522,0,0,167,10,83,0,64.23076923076923,3.8461538461538463,31.923076923076923,0.0,6.7778173866385885,6.7778173866385885,0.0,0.0577307703609291,,,,,2,24,260,1,tle,10,283,0.9452402671095606,tle
Heuristic-TVD,3979.401071523637,149459.51245695996,257,581.5545231788325,143551818802.25815,48721544365.42237,66.05996024854548,0.9583279317566242,67.84449887468308,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,540.4875430400141,540.4875430400141,0.0,0.0151088465757381,,,,,2,24,260,1,tle,10,283,1.0,tle
Deadline-Energy,3842.9507722901294,60855.477298293335,260,234.059528070359,145714942829.99643,112129696489.97528,23.048594528293908,17.416554522605608,75.3955751135382,0,0,64,1,195,0,24.615384615384617,0.3846153846153846,75.0,0.0,89144.52270170665,89144.52270170665,0.0,0.010868460790684,,,,,3,24,260,1,tle,10,283,0.9350355269236152,tle
Energy-WSRPT,3587.099018167369,149894.80226928,259,578.7444103061003,145714942829.99643,38347328605.8196,73.6833245368947,0.7175219706068294,67.01365908084489,0,0,163,27,70,0,62.69230769230769,10.384615384615383,26.923076923076923,0.0,105.19773071999089,105.19773071999089,0.0,0.0134515390247822,,,,,3,24,260,1,tle,10,283,0.8727837589708496,tle
ActiveInf-inspired,3664.859137210098,149997.6763199998,259,579.1416074131266,145714942829.99643,50641637487.53654,65.2460917844099,1.1445659766542424,68.70909977600112,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.0306834635781482,,,,,3,24,260,1,tle,10,283,0.8917037187077869,tle
LEO-DRL-inspired,3756.168396888801,149984.66605386665,259,579.0913747253538,145714942829.99643,57185444304.49779,60.75526422076338,1.079645548510598,69.73523259531535,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,15.333946133347808,15.333946133347808,0.0,0.0570326921521112,,,,,3,24,260,1,tle,10,283,0.9139203451481516,tle
Heuristic-TVD,4109.951613211877,148537.6642045332,260,571.2987084789739,145714942829.99643,49519593697.639496,66.0161183637746,0.9832486245364028,60.99213132508108,0,0,166,1,93,0,63.84615384615385,0.3846153846153846,35.76923076923077,0.0,1462.3357954666835,1462.3357954666835,0.0,0.014714231432523,,,,,3,24,260,1,tle,10,283,1.0,tle
Deadline-Energy,3814.432550931616,67193.68164704,260,258.437237104,143751290598.0329,98639928265.83955,31.38153552884389,11.031365251957808,84.51100708255588,0,0,75,2,183,0,28.846153846153847,0.7692307692307693,70.38461538461539,0.0,82806.31835296005,82806.31835296005,0.0,0.0107923084914755,,,,,4,24,260,1,tle,10,283,0.9368375509057814,tle
Energy-WSRPT,3456.94806511841,149973.9381812266,260,576.8228391585639,143751290598.0329,43033681466.56744,70.06379470574554,1.1445659766542424,76.08451903298176,0,0,154,16,90,0,59.23076923076923,6.153846153846154,34.61538461538461,0.0,26.06181877334484,26.06181877334484,0.0,0.0132542308375167,,,,,4,24,260,1,tle,10,283,0.849038150679328,tle
