policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,allow_pre,split_energy,normalized_value
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.010663847094222616,,,,,1,No PRE action,False,True,0.9115964198533839
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076924,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.011008074887705823,,,,,2,No PRE action,False,True,0.896550364849148
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846153,0.0,78.66936704002819,78.66936704002819,0.0,0.010401152002696808,,,,,3,No PRE action,False,True,0.9143687121422718
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076924,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.011555000450103901,,,,,4,No PRE action,False,True,0.9032589567688271
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615384,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.010535385137280593,,,,,5,No PRE action,False,True,0.9223894510994385
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615384,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.010745769227819087,,,,,6,No PRE action,False,True,0.9144901114907444
Heuristic-TVD,4111.897115478791,149670.5285704532,258,580.1183277924542,139247165035.33093,48006134866.0227,65.5245154514692,1.021807394126055,61.38957043915382,0,0,169,0,91,0,65.0,0.0,35.0,0.0,329.4714295466986,329.4714295466986,0.0,0.011136922694277018,,,,,7,No PRE action,False,True,0.9269437505369378
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.010255769750354094,,,,,8,No PRE action,False,True,0.8962884037903756
Heuristic-TVD,4028.1956965195523,149522.0178698665,257,581.7977349022043,145047080871.27374,41111842808.23144,71.65620806618139,0.9832486245364028,70.43976702267629,0,0,172,0,88,0,66.15384615384615,0.0,33.84615384615385,0.0,477.9821301333002,477.9821301333002,0.0,0.01046307823764017,,,,,9,No PRE action,False,True,0.9077568331141547
Heuristic-TVD,4297.566343409172,127288.63339872002,260,489.57166691815394,141896346105.7374,269287788.0993444,99.81022218295975,0.6466051834324996,1.4003521635849725,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,22711.36660127986,22711.36660127986,0.0,0.014496151169833656,,,,,0,Active-only energy profile,True,True,1.0
Heuristic-TVD,4334.037272965154,126755.8092531201,260,487.52234328123114,138183152908.2682,467411381.71912634,99.66174503050352,0.6466051834323963,1.4002975632321393,0,0,258,0,2,0,99.23076923076923,0.0,0.7692307692307693,0.0,23244.190746879925,23244.190746879925,0.0,0.014064231744179359,,,,,1,Active-only energy profile,True,True,1.0
Heuristic-TVD,4274.8501145827695,125184.21408608016,260,481.47774648492367,143551818802.25815,0.0,100.0,0.6452474750911847,1.3793553265853096,0,0,260,0,0,0,100.0,0.0,0.0,0.0,24815.785913919877,24815.785913919877,0.0,0.014036154607310891,,,,,2,Active-only energy profile,True,True,1.0
Heuristic-TVD,4358.938281406207,124709.43831488008,260,479.65168582646186,145714942829.99643,176726882.50300673,99.87871739227926,0.6663849022845776,1.4431406181219304,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,25290.561685119883,25290.561685119883,0.0,0.015039999561849982,,,,,3,Active-only energy profile,True,True,1.0
Heuristic-TVD,4372.261880849217,129588.36512992016,260,498.41678896123136,143751290598.0329,833564762.3664393,99.42013406704132,0.6718454755406128,1.4040138271256322,0,0,257,0,3,0,98.84615384615385,0.0,1.153846153846154,0.0,20411.63487007985,20411.63487007985,0.0,0.01456500019860239,,,,,4,Active-only energy profile,True,True,1.0
Heuristic-TVD,4268.47746291009,126717.22916224011,260,487.3739583163081,145966253614.7567,3048124649.6063457,97.91176071583563,0.6718454755406128,1.3274522225987122,0,0,256,0,4,0,98.46153846153847,0.0,1.5384615384615385,0.0,23282.770837759956,23282.770837759956,0.0,0.01508153889937183,,,,,5,Active-only energy profile,True,True,1.0
Heuristic-TVD,4325.387757810101,132367.6663427201,260,509.1064090104619,136511684238.74997,2664996516.2239404,98.04778870681645,0.7175535909421038,1.4163611988346383,0,0,255,0,5,0,98.07692307692307,0.0,1.9230769230769231,0.0,17632.333657279964,17632.333657279964,0.0,0.014631921770230222,,,,,6,Active-only energy profile,True,True,1.0
Heuristic-TVD,4435.972639221042,128034.52842720022,260,492.4404939507701,139247165035.33093,700719946.1442418,99.49677973984859,0.7134953748218928,1.5218532103183842,0,0,258,0,2,0,99.23076923076923,0.0,0.7692307692307693,0.0,21965.471572799885,21965.471572799885,0.0,0.014998845962019494,,,,,7,Active-only energy profile,True,True,1.0
Heuristic-TVD,4282.0893953641435,128285.02841760012,260,493.40395545230814,147675122448.8456,2902770146.340219,98.03435399395336,0.7134953748219232,1.5447717957074494,0,0,254,0,6,0,97.6923076923077,0.0,2.307692307692308,0.0,21714.971582399878,21714.971582399878,0.0,0.015103460688036509,,,,,8,Active-only energy profile,True,True,1.0
Heuristic-TVD,4437.52726454331,122051.52493664008,260,469.4289420640003,145047080871.27374,769816349.9746252,99.46926449994686,0.6718454755406205,1.5968891994062213,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,27948.475063359772,27948.475063359772,0.0,0.015182307890007416,,,,,9,Active-only energy profile,True,True,1.0
