policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,energy_scale,latency_scale,normalized_value
Priority-Aware,3765.2094147565786,40774.65286853334,260,156.82558795589745,138183152908.2682,83081342987.12921,39.87592464163695,12.934506397489773,79.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,109225.3471314668,109225.3471314668,0.0,0.001565768280460571,,,,,1,0.5x,0.5,0.5,0.8598057634811517
Heuristic-TVD,4379.139539042085,122890.3987361066,260,472.65537975425616,138183152908.2682,0.0,100.0,0.30817011953634693,0.6610982650848504,0,0,260,0,0,0,100.0,0.0,0.0,0.0,27109.601263893368,27109.601263893368,0.0,0.016146153323531438,,,,,1,0.5x,0.5,0.5,1.0
All-Downlink,2556.686277673104,0.0,253,0.0,143551818802.25815,133655118349.42921,6.894165838791344,37.746426882901076,754.0107986472566,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00031192298942747025,,,,,2,0.5x,0.5,0.5,0.5919822927988665
All-On-Board,4318.856000886788,122183.17969871989,260,469.93530653353804,143551818802.25815,0.0,100.0,0.3027045813497049,0.6361511607420349,0,0,260,0,0,0,100.0,0.0,0.0,0.0,27816.82030128005,27816.82030128005,0.0,0.0003623084362166432,,,,,2,0.5x,0.5,0.5,1.0
Fixed-Threshold,3108.0046267878124,48073.01157007995,258,186.3295022096122,143551818802.25815,43453490187.54808,69.72975295603531,7.619225395042789,77.43346582313498,0,0,103,90,67,0,39.61538461538461,34.61538461538461,25.76923076923077,0.0,101926.98842992008,101926.98842992008,0.0,0.0011700005136215342,,,,,2,0.5x,0.5,0.5,0.7196360856091631
Deadline-Energy,3799.6547201578446,35590.85494490666,260,136.8879036342564,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,114409.14505509325,114409.14505509325,0.0,0.010085769911081744,,,,,2,0.5x,0.5,0.5,0.8797826830479331
Priority-Aware,3617.499011712073,35368.45398549335,260,136.03251532882055,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,114631.54601450673,114631.54601450673,0.0,0.0017211531835178344,,,,,2,0.5x,0.5,0.5,0.8376058407525729
Heuristic-TVD,4318.856000886788,122183.17969871989,260,469.93530653353804,143551818802.25815,0.0,100.0,0.3027045813497049,0.6361511607420349,0,0,260,0,0,0,100.0,0.0,0.0,0.0,27816.82030128005,27816.82030128005,0.0,0.01359846266076112,,,,,2,0.5x,0.5,0.5,1.0
All-Downlink,2523.31517969433,0.0,255,0.0,145714942829.99643,141823142641.82233,2.670831221966452,40.634583839711894,79.65998313243796,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00028230771511936415,,,,,3,0.5x,0.5,0.5,0.5721165909816024
All-On-Board,4410.491182164427,121443.4572239999,260,467.0902200923073,145714942829.99643,0.0,100.0,0.30817011953634693,0.6985189215990446,0,0,260,0,0,0,100.0,0.0,0.0,0.0,28556.542776000144,28556.542776000144,0.0,0.0003407693629224713,,,,,3,0.5x,0.5,0.5,1.0
Fixed-Threshold,3298.462733885623,55830.134184746574,257,217.2378762052396,145714942829.99643,53173078967.439766,63.50883585805194,4.809570752939726,78.33749969722065,0,0,109,78,73,0,41.92307692307692,30.0,28.076923076923077,0.0,94169.86581525342,94169.86581525342,0.0,0.0010903855302156163,,,,,3,0.5x,0.5,0.5,0.7478674364488624
Deadline-Energy,3877.767031424162,35848.7635376,260,137.87985976000002,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,114151.23646239999,114151.23646239999,0.0,0.010210383558072723,,,,,3,0.5x,0.5,0.5,0.8792143258568236
Priority-Aware,3814.095769491853,38838.10252298667,260,149.3773173961026,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,111161.89747701335,111161.89747701335,0.0,0.0013176928265378452,,,,,3,0.5x,0.5,0.5,0.8647780058864337
Heuristic-TVD,4410.491182164427,121443.4572239999,260,467.0902200923073,145714942829.99643,0.0,100.0,0.30817011953634693,0.6985189215990446,0,0,260,0,0,0,100.0,0.0,0.0,0.0,28556.542776000144,28556.542776000144,0.0,0.01493307667820213,,,,,3,0.5x,0.5,0.5,1.0
All-Downlink,2449.820990927939,0.0,259,0.0,143751290598.0329,136549823818.19585,5.009671043562514,36.22262312100996,726.9090733329451,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002973081651501931,,,,,4,0.5x,0.5,0.5,0.5531622365343191
