policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,memory_gb,normalized_value
PBR-adapted,3671.606389651742,149912.94805653335,259,578.8144712607465,145966253614.7567,48746952763.86467,66.60395704028913,0.9832486245364028,69.69639254002793,0,0,159,2,99,0,61.15384615384615,0.7692307692307693,38.07692307692308,0.0,87.05194346669992,87.05194346669992,0.0,6.067003076224444,,,,,,,5,8.0,0.88098505450453
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.017751923363763265,,,,,,,5,8.0,0.9447126791518989
ActiveInf-inspired,3525.2110495930406,149991.51363621312,257,583.624566677872,136511684238.74997,42003085049.19998,69.2311428992852,1.2231146221108853,110.72537450054526,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,8.486363786669415,8.486363786669415,0.0,0.037959615068617635,,,,,,,6,8.0,0.8439521174033874
PeakMem-inspired,4177.027318136439,125178.30271594669,260,481.4550104459488,136511684238.74997,54633214146.81703,59.979093034067965,1.0218073941260324,53.352778270149265,0,0,147,0,113,0,56.53846153846154,0.0,43.46153846153846,0.0,24821.69728405341,24821.69728405341,0.0,0.023674615434944056,,,,,,,6,8.0,1.0
PBR-adapted,3718.896180936403,149978.49422277324,257,583.573907481608,136511684238.74997,48457843844.22273,64.50278661900242,1.0507264713183,110.72537450054526,0,0,153,3,104,0,58.84615384615385,1.1538461538461537,40.0,0.0,21.505777226620836,21.505777226620836,0.0,5.792668846529873,,,,,,,6,8.0,0.8903212494658931
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.0173696153349458,,,,,,,6,8.0,0.9469711427803634
ActiveInf-inspired,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.03821769205387682,,,,,,,7,8.0,0.8686101466154583
PeakMem-inspired,4291.607350049323,149844.7156482133,258,580.7934715047028,139247165035.33093,45689759736.38969,67.18801440244984,0.7956735252067423,44.6904607470441,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,155.28435178675932,155.28435178675932,0.0,0.024799230875662312,,,,,,,7,8.0,1.0
PBR-adapted,3847.9484778529204,149985.80684666647,254,590.4953025459309,139247165035.33093,51158242364.516975,63.26083740984121,1.019387188833874,69.26924140178392,0,0,158,5,97,0,60.76923076923077,1.9230769230769231,37.30769230769231,0.0,14.193153333342593,14.193153333342593,0.0,6.258229999758232,,,,,,,7,8.0,0.8966217465837587
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.020145767932542816,,,,,,,7,8.0,0.9567728505425331
ActiveInf-inspired,3402.393805083593,149989.19807631974,256,585.895304985624,147675122448.8456,52171633258.62287,64.67134586145677,1.2567783273065893,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920435,10.801923679920435,0.0,0.03858500119979279,,,,,,,8,8.0,0.8097933876204111
