policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,charge_power_w,normalized_value
Adaptive-TVD,4087.1019325424845,147740.77701973333,260,568.2337577682051,145966253614.7567,52488353905.507,64.04076106245931,0.9832486245364028,49.80908255957562,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,144897.42808416003,64775.673795420655,0.0,0.014200000777446594,0.0,0.0,1.3392635493454388,0.018035502958579884,,,5,5.0,0.956528399098013
Heuristic-TVD,4269.6210256555605,245805.6438867199,260,945.4063226412303,145966253614.7567,1706983974.942387,98.83056259055085,0.6713495368931415,1.3238063144324037,0,0,258,0,2,0,99.23076923076923,0.0,0.7692307692307693,0.0,99824.53332607255,61585.69748632831,95805.64388671989,0.013742693408858031,,,,,,,5,5.0,0.999244411280187
Deadline-Energy,3774.4549894033107,59623.26823472,260,229.32026244123077,136511684238.74997,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,144403.38821696,67500.0,0.0,0.009601923990815591,,,,,,,6,5.0,0.8720102654037459
EH-DORA-adapted,4328.38650222846,255724.9798171731,260,983.557614681435,136511684238.74997,0.0,100.0,0.719300551412698,1.3970378431980892,0,0,260,0,0,0,100.0,0.0,0.0,0.0,90072.59103593783,67500.0,105724.9798171731,0.02516961551289289,,,,,,,6,5.0,0.9999847589055264
Adaptive-TVD,4126.6939716539155,155149.15886005323,260,596.7275340771278,136511684238.74997,47545287827.64619,65.17126860401736,1.0218073941260475,54.94973308441672,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,144403.38821696,67500.0,5149.158860053227,0.01367423146103437,1.8356426457229522,0.0,1.6999542907632295,0.018035502958579884,,,6,5.0,0.9533878442224702
Heuristic-TVD,4328.452472581519,253596.5800919464,260,975.3714618921016,136511684238.74997,492483288.02137756,99.63923726326601,0.7175219706068371,1.397037843198086,0,0,259,0,1,0,99.61538461538461,0.0,0.38461538461538464,0.0,92200.99076116449,67500.0,103596.58009194641,0.01370884587791247,,,,,,,6,5.0,1.0
Deadline-Energy,3883.0840761585364,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40207,28.270131072284855,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,146885.99673664,67500.0,0.0,0.009848076577047603,,,,,,,7,5.0,0.8748438986124887
EH-DORA-adapted,4438.60222642822,250247.36082229303,260,962.4898493165117,139247165035.33093,0.0,100.0,0.7175219706068068,1.4816931001610218,0,0,260,0,0,0,100.0,0.0,0.0,0.0,96318.23535930504,64536.93168660798,100247.36082229303,0.026305383877255596,,,,,,,7,5.0,1.0
Adaptive-TVD,4221.02590878568,150496.58435583996,260,578.8330167532306,139247165035.33093,52840381384.298836,62.05281351983594,0.9832486245364028,56.4089438796957,0,0,156,0,104,0,60.0,0.0,40.0,0.0,146885.99673664,67023.59975952827,496.5843558399647,0.013640383258461952,0.030063976035541673,0.0,1.4162421847001065,0.018035502958579884,,,7,5.0,0.9509808929606145
Heuristic-TVD,4438.60222642822,250247.36082229303,260,962.4898493165117,139247165035.33093,0.0,100.0,0.7175219706068068,1.4816931001610218,0,0,260,0,0,0,100.0,0.0,0.0,0.0,96318.23535930504,64536.93168660798,100247.36082229303,0.013798461497152368,,,,,,,7,5.0,1.0
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03853,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.38461538461538464,71.92307692307692,0.0,147393.29889856002,67500.0,0.0,0.011177692571296714,,,,,,,8,5.0,0.8878031374590099
