policy,total_value,compute_energy_j,comm_energy_j,energy_j,useful_tasks,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,mean_decision_ms,seed,contact_model,window_count,capacity_gbit,training_seed_count,training_q_states,normalized_value
Deadline-Energy,3046.945421105828,50731.14752448002,99217.28860130876,149948.43612578878,206,136511684238.74995,74196004058.9793,45.64860548550895,32.43248772732338,909.24076003929,0,67,52,2,152,54,20.0,0.7692307692307693,58.46153846153846,20.76923076923077,51.56387421125552,0.0134892302762287,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
Energy-WSRPT,2609.426096124581,147222.32595151992,2743.341662225041,149965.66761374497,161,136511684238.74995,2025801010.549805,98.51602372218424,1.1894509169151812,1156.409678953666,0,104,146,13,2,99,56.15384615384615,5.0,0.7692307692307693,38.07692307692308,34.33238625491316,0.015531153901695,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.8564072326499179
ActiveInf-inspired,2562.18529849745,148255.0004552533,1696.1727215863764,149951.17317683966,152,136511684238.74995,1282061013.0815427,99.0608415534312,1.2723023214839486,1196.1916795279335,0,0,148,2,2,108,56.92307692307692,0.7692307692307693,0.7692307692307693,41.53846153846154,48.826823160292975,0.0310100011679773,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.8409029189526985
LEO-DRL-inspired,2662.769607121161,136824.03577930664,13152.867123426176,149976.9029027328,159,136511684238.74995,9854644309.9147,92.78109828849551,1.32219653016964,1161.7023301834097,0,0,138,2,19,101,53.07692307692308,0.7692307692307693,7.3076923076923075,38.84615384615385,23.09709726715788,0.0465934615931473,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.8739144418788972
Heuristic-TVD,2846.5225204461417,145473.7001985598,4483.3687830605695,149957.06898162037,178,136511684238.74995,3383611254.473733,97.52137608341567,1.1894509169151812,1031.1814921633395,0,0,156,17,5,82,60.0,6.538461538461538,1.9230769230769231,31.53846153846154,42.93101837942811,0.0170900015151486,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.934221696499261
Deadline-Energy,2794.209796535708,60580.89357221332,89382.8580613783,149963.7516335916,196,139247165035.33093,66866606102.876175,51.97991565148904,40.49985340630485,991.3905012596032,0,85,60,3,133,64,23.07692307692308,1.1538461538461535,51.15384615384615,24.615384615384617,36.24836640833669,0.0146034615821778,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9866048324745398
Energy-WSRPT,2749.543169230333,147009.6083932265,2884.183715355264,149893.79210858175,170,139247165035.33093,2161208844.970721,98.447933324587,1.1445659766542424,1183.9628402800215,0,98,155,13,2,90,59.61538461538461,5.0,0.7692307692307693,34.61538461538461,106.20789141807325,0.0160049995219406,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.97083353627321
ActiveInf-inspired,2698.786756261994,149668.00462789318,331.36223720395884,149999.36686509714,159,139247165035.33093,250478615.46428496,99.82011941471072,1.2567783273065891,1236.2702712357843,0,0,156,3,0,101,60.0,1.1538461538461535,0.0,38.84615384615385,0.6331349027408848,0.0314980769941869,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9529120035465972
LEO-DRL-inspired,2667.1522007200847,140082.9280384532,9879.589306567485,149962.51734502066,158,139247165035.33093,7374503325.870926,94.7040190556125,1.362633859441136,1236.2702712357843,0,0,144,3,11,102,55.38461538461539,1.1538461538461535,4.230769230769231,39.23076923076923,37.48265497926016,0.0477273087688865,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9417421889501674
Heuristic-TVD,2832.146878428973,147573.38007125317,2415.779964088955,149989.16003534212,171,139247165035.33093,1825681272.817854,98.68889160339126,1.1445659766542424,1175.9128702546575,0,0,159,8,4,89,61.15384615384615,3.076923076923077,1.5384615384615383,34.23076923076923,10.83996465774797,0.0160180773281563,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
